EmployeeID,HireDate,LastReviewDate,EngagementScore,TrainingHours,AbsenceDays
E187,2018-05-29,2019-05-18,55,15,17
E188,2019-09-01,2023-07-23,78,79,7
E189,2020-11-10,2023-06-27,68,56,9
E190,2021-08-07,2024-06-30,59,72,19
E191,2015-09-04,2019-08-02,87,12,6
E192,2022-01-06,2023-09-10,56,10,5
E193,2017-09-09,2019-02-26,75,9,5
E194,2015-01-11,2017-10-23,68,76,15
E195,2018-04-07,2018-12-09,54,36,9
E196,2022-11-19,2025-12-02,44,29,8
E197,2022-01-04,2025-10-22,82,25,13
E198,2016-04-15,2019-11-01,54,19,8
E199,2016-08-05,2017-06-27,43,21,9
E200,2021-09-03,2025-05-10,98,36,14
E201,2016-05-24,2019-07-07,84,38,12
E202,2018-01-20,2021-05-08,74,63,14
E203,2015-11-26,2019-09-30,42,55,10
E204,2021-10-08,2023-08-31,41,11,7
E205,2022-07-24,2026-04-12,77,2,8
E206,2021-06-18,2022-03-07,88,22,15
E207,2020-10-26,2023-10-16,98,35,5
E208,2021-07-25,2024-07-01,80,62,2
E209,2020-04-09,2022-09-18,66,42,10
E210,2022-07-07,2023-08-05,94,20,10
E211,2019-08-14,2022-11-20,58,51,17
E212,2015-05-31,2018-06-15,45,40,8
E213,2018-08-17,2019-10-08,89,51,16
E214,2015-01-05,2018-07-19,69,52,1
E215,2017-02-07,2020-07-02,63,79,15
E216,2022-01-05,2024-12-25,88,6,6
E217,2017-12-29,2021-07-25,48,36,14
E218,2022-10-31,2026-01-15,47,3,20
E219,2021-10-29,2023-08-30,85,20,9
E220,2021-03-06,2021-09-30,75,52,2
E221,2017-07-09,2018-08-25,69,15,20
E222,2016-09-22,2020-01-05,99,37,16
E223,2022-11-29,2024-12-07,66,61,15
E224,2017-09-25,2020-10-14,75,18,12
E225,2017-02-19,2020-12-27,72,17,2
E226,2018-02-05,2020-11-30,61,64,8
E227,2015-01-11,2017-02-08,86,38,18
E228,2021-07-03,2024-09-27,95,19,14
E229,2021-01-15,2024-03-31,62,42,17
E230,2021-02-03,2023-09-13,69,41,6
E231,2022-10-27,2024-08-26,76,49,7
E232,2019-08-10,2020-05-05,60,60,12
E233,2019-05-01,2020-09-03,71,4,4
E234,2020-08-19,2024-06-07,61,12,14
E235,2016-02-13,2019-07-24,98,58,0
E236,2023-02-07,2024-05-27,66,19,2
E237,2020-04-07,2022-03-30,61,79,12
E238,2022-04-15,2023-03-25,94,42,17
E239,2019-04-06,2021-07-12,80,62,17
E240,2015-05-28,2019-05-11,44,30,20
E241,2022-09-04,2024-10-11,54,11,13
E242,2016-02-08,2020-02-24,85,12,14
E243,2016-11-12,2019-01-14,97,3,1
E244,2018-08-21,2019-06-11,58,45,11
E245,2019-10-31,2021-02-20,55,67,13
E246,2021-05-07,2022-11-06,50,22,2
E247,2021-11-01,2024-06-21,79,30,15
E248,2021-07-16,2022-11-01,54,59,20
E249,2017-11-06,2020-12-01,56,1,14
E250,2018-03-24,2021-10-13,50,9,14
E251,2018-11-16,2022-08-30,59,54,8
E252,2020-02-15,2022-04-23,52,49,15
E253,2016-03-12,2018-01-06,64,73,11
E254,2021-06-12,2023-08-06,84,37,0
E255,2022-05-20,2025-02-03,57,1,18
E256,2022-09-10,2023-06-17,98,77,15
E257,2018-03-18,2019-12-29,78,45,7
E258,2022-02-20,2023-09-12,79,32,4
E259,2022-01-17,2023-01-30,97,80,20
E260,2015-06-11,2017-08-31,90,56,1
E261,2021-07-01,2024-01-14,86,16,2
E262,2018-04-23,2020-08-19,87,53,5
E263,2017-04-02,2018-06-26,90,69,11
E264,2020-12-14,2024-04-04,98,34,5
E265,2017-11-18,2021-01-27,91,37,10
E266,2016-04-16,2019-05-30,44,18,7
E267,2022-08-02,2025-04-21,94,71,11
E268,2016-01-05,2018-09-19,40,33,17
E269,2016-05-21,2019-06-06,63,33,18
E270,2019-04-10,2023-05-06,100,47,3
E271,2022-07-27,2024-05-15,70,3,19
E272,2021-04-18,2023-08-17,98,78,7
E273,2022-04-06,2023-02-09,80,59,9
E274,2022-04-13,2025-01-23,47,17,1
E275,2015-06-02,2017-08-13,71,14,3
E276,2017-08-19,2021-02-19,48,49,14
E277,2019-02-28,2022-09-06,66,75,4
E278,2019-08-27,2020-09-12,93,62,19
E279,2019-07-30,2021-08-20,42,47,6
E280,2019-12-22,2022-12-16,100,30,11
E281,2016-02-11,2018-08-31,74,45,1
E282,2019-06-19,2021-07-03,52,15,14
E283,2016-01-11,2017-09-16,81,76,0
E284,2015-07-27,2017-12-06,55,16,18
E285,2017-04-20,2018-03-06,93,70,6
E286,2021-07-29,2023-04-12,92,29,10
E287,2016-08-27,2020-06-27,40,35,4
E288,2016-06-16,2019-12-24,56,22,3
E289,2022-05-31,2023-01-18,48,1,11
E290,2017-09-01,2021-06-17,60,2,5
E291,2017-12-22,2018-10-05,48,53,16
E292,2016-04-10,2017-02-14,70,57,11
E293,2020-10-03,2024-07-29,46,57,16
E294,2017-06-26,2021-06-04,42,66,9
E295,2020-02-20,2024-03-27,41,7,15
E296,2019-07-04,2022-05-22,83,13,15
E297,2022-12-27,2025-12-19,44,10,10
E298,2021-10-27,2023-02-22,44,16,8
E299,2022-01-01,2026-01-16,77,70,10
E300,2019-04-10,2023-02-11,73,37,14
